Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
2552,3,2,1,0,0,@AustinG1135 I do not like talking to you faggot and I did but in a nicely way fag
20134,3,2,1,0,0,RT @mitchmancuso: @BrantPrintup:What straight guys take a picture of themselves naked in a hot tun.What fags @jakesiwy @Ryan_Murphy3 @Randy&#8230;
5913,9,5,0,4,0,"@clinchmtn316 @sixonesixband AMERICA today, the rule of thumb is: when in doubt, blame ""whitey"""
4751,3,2,1,0,0,"@STACCS_WNT_FOLD you tell me, coon."
15498,3,2,1,0,0,RT @FAAMMoverALL: This nigguh Chris Paul
8333,3,3,0,0,0,Black people like @ChiefKeef disgust me laughing at someone who died dumb monkey ass niggas like you need to be locked up just for stupidity
9651,3,2,1,0,0,George michael such a fag
6636,3,2,1,0,0,@kieffer_jason here let me say it more clearly since your retarded ass don't understand
1461,3,2,1,0,0,&#8220;@My_Fish_Died: You dammn Weed potheads are annoying af on Twitter&#8221; weed and pot are the same thing faggot
6793,3,2,1,0,0,@luvvida You're right.. I be around my nig....
4594,3,3,0,0,0,@Qui_ThePharaoh @zApollo0803 @MildlyDarkSkin hes a lying faggot. he used inspect element to change the number of dollars in his account.
15162,3,2,1,0,0,RT @CuhCuhCraig: Is that Kawhi Leonard? Smh RT &#8220;@iDntWearCondoms: Wow u really gonna leak ou.. Nvm RT @MsJoseline: Ion need I fuc nig http:&#8230;
20219,3,2,0,1,0,RT @occdissent: Ann Coulter admits on FOX News that America has a negro problem. #crime #tcot #gettingreal
16824,3,2,1,0,0,"RT @MidniteBoss: If you snipe, you're a fucking faggot. I fucking hope all of you snipers get fucking raped and suffer from cancer."
4390,3,2,1,0,0,@Newser big fucking deal...cry baby niggers
22773,3,2,1,0,0,Twitter is for fags.
3457,3,2,1,0,0,@Herfarm Move out of our country teabaggers!
1729,3,2,1,0,0,&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#8221;hatin
3886,3,2,1,0,0,"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
864,3,2,0,1,0,#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG
1442,3,3,0,0,0,"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer"
4880,3,2,1,0,0,@StarIsTheFuture you call @GOPBlackChick house nigger and she's the racist? Fathom the hypocrisy in that statement.
19562,6,6,0,0,0,RT @iBeZo: Stupid fucking nigger LeBron. You flopping stupid jungle bunny monkey faggot.
7545,3,3,0,0,0,@xZimpx @Prophzilla This is Twitter. Not only are you a fag but you're also retarded.
1668,3,2,1,0,0,&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;
4708,3,2,1,0,0,"@Roscoedash lmao, soft ass nigga trying to act all tough, you a little bitch. Sit down and watch from the sidelines pussy."
3151,3,2,1,0,0,@Drfreezeburnn @DaithiDeNogla I just learned how many retards you can find when you search trending topics.
10756,3,3,0,0,0,I hate the white trash cops who raped and murdered my infant daughters and son.
20742,3,2,1,0,0,"RT @vodkapapixo: Black girls have never been into me. I guess cause I don't call them hoes, sell drug's or shoot niggas o well."
12396,3,2,1,0,0,Johnny Rebel - Quit your bitchin' nigger!: http://t.co/uCGhrY7zGe
2938,3,2,0,1,0,"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao"
